"Name","Version","License","Author","URL"
"Django","4.1.3","BSD License","Django Software Foundation","https://www.djangoproject.com/"
"GitPython","3.1.29","BSD License","Sebastian Thiel, Michael Trier","https://github.com/gitpython-developers/GitPython"
"Jinja2","3.1.2","BSD License","Armin Ronacher","https://palletsprojects.com/p/jinja/"
"Levenshtein","0.20.8","GNU General Public License v2 or later (GPLv2+)","Max Bachmann","https://github.com/maxbachmann/Levenshtein"
"MarkupSafe","2.1.1","BSD License","Armin Ronacher","https://palletsprojects.com/p/markupsafe/"
"Pillow","9.3.0","Historical Permission Notice and Disclaimer (HPND)","Alex Clark (PIL Fork Author)","https://python-pillow.org"
"PySocks","1.7.1","UNKNOWN","Anorov","https://github.com/Anorov/PySocks"
"PyYAML","6.0","MIT License","Kirill Simonov","https://pyyaml.org/"
"Pygments","2.13.0","BSD License","Georg Brandl","https://pygments.org/"
"akismet","1.2.1","BSD License","Michael Foord and James Bennett","https://github.com/ubernostrum/akismet"
"appdirs","1.4.4","MIT License","Trent Mick","http://github.com/ActiveState/appdirs"
"asgiref","3.5.2","BSD License","Django Software Foundation","https://github.com/django/asgiref/"
"astroid","2.12.12","GNU Lesser General Public License v2 (LGPLv2)","UNKNOWN","UNKNOWN"
"async-generator","1.10","Apache Software License; MIT License","Nathaniel J. Smith","https://github.com/python-trio/async_generator"
"attrs","22.1.0","MIT License","Hynek Schlawack","https://www.attrs.org/"
"autopep8","2.0.0","MIT License","Hideo Hattori","https://github.com/hhatto/autopep8"
"bandit","1.7.4","Apache Software License","PyCQA","https://bandit.readthedocs.io/"
"black","22.10.0","MIT License","UNKNOWN","UNKNOWN"
"captcha","0.4","BSD License","Hsiaoming Yang","https://github.com/lepture/captcha"
"certifi","2022.9.24","Mozilla Public License 2.0 (MPL 2.0)","Kenneth Reitz","https://github.com/certifi/python-certifi"
"charset-normalizer","2.1.1","MIT License","Ahmed TAHRI @Ousret","https://github.com/ousret/charset_normalizer"
"click","8.1.3","BSD License","Armin Ronacher","https://palletsprojects.com/p/click/"
"codacy-coverage","1.3.11","MIT License","Codacy","https://github.com/codacy/python-codacy-coverage"
"codecov","2.1.12","Apache Software License","Codecov","https://github.com/codecov/codecov-python"
"confusable-homoglyphs","3.2.0","MIT License","Victor Felder","https://github.com/vhf/confusable_homoglyphs"
"coverage","6.5.0","Apache Software License","Ned Batchelder and 161 others","https://github.com/nedbat/coveragepy"
"coveralls","3.3.1","MIT License","TheKevJames","http://github.com/TheKevJames/coveralls-python"
"dill","0.3.6","BSD License","Mike McKerns","https://github.com/uqfoundation/dill"
"distlib","0.3.6","Python Software Foundation License","Vinay Sajip","https://github.com/pypa/distlib"
